Image number	Short description	Bonus information
01	Grace Hopper	Grace Hopper is a famous computer scientist who worked for the US Navy.  She worked on very early computers like the UNIVAC, and she invented the first compiler.
02	Python	Python is a high-level programming language invented by Guido Van Rossum.  It is the 8th most popular computer language according to the TIOBE Index.
